original_label,n_identities,in_balanced_pool,pool_major_groups,proposed_candidates,proposal_note,mapping_type,external_code,confidence,reviewer_decision,reviewer,exclusion_reason,proposed_by_model
Environmental Scientist,65,true,19,"19-2041|Environmental Scientists and Specialists, Including Health|head_tokens|recall=1.0; 15-2051|Data Scientists|tokens|recall=0.5; 17-2081|Environmental Engineers|tokens|recall=0.5; 19-1011|Animal Scientists|tokens|recall=0.5",,,,,,,,false
Architect,41,true,17,"17-1011|Architects, Except Landscape and Naval|exact_head|recall=1.0; 15-1243|Database Architects|head_tokens|recall=1.0; 17-1012|Landscape Architects|head_tokens|recall=1.0; 15-1241|Computer Network Architects|head_tokens|recall=1.0",,,,,,,,false
Graphic Designer,19,true,27,"27-1024|Graphic Designers|exact_head|recall=1.0; 27-1029|Designers, All Other|tokens|recall=0.5; 27-1022|Fashion Designers|tokens|recall=0.5; 27-1023|Floral Designers|tokens|recall=0.5",,,,,,,,false
Software Developer,15,true,15,15-1252|Software Developers|exact_head|recall=1.0; 15-1254|Web Developers|tokens|recall=0.5; 15-1253|Software Quality Assurance Analysts and Testers|tokens|recall=0.5,,,,,,,,false
Civil Engineer,13,true,17,"17-2051|Civil Engineers|exact_head|recall=1.0; 17-2199|Engineers, All Other|tokens|recall=0.5; 17-2011|Aerospace Engineers|tokens|recall=0.5; 17-2021|Agricultural Engineers|tokens|recall=0.5",,,,,,,,false
Biomedical Engineer,10,true,17,"17-2031|Bioengineers and Biomedical Engineers|head_tokens|recall=1.0; 17-2199|Engineers, All Other|tokens|recall=0.5; 17-2011|Aerospace Engineers|tokens|recall=0.5; 17-2021|Agricultural Engineers|tokens|recall=0.5",,,,,,,,false
Pediatrician,8,true,29,"29-1221|Pediatricians, General|exact_head|recall=1.0",,,,,,,,false
Mechanical Engineer,6,true,17,"17-2141|Mechanical Engineers|exact_head|recall=1.0; 17-2199|Engineers, All Other|tokens|recall=0.5; 17-2011|Aerospace Engineers|tokens|recall=0.5; 17-2021|Agricultural Engineers|tokens|recall=0.5",,,,,,,,false
Veterinarian,3,true,29,29-1131|Veterinarians|exact_head|recall=1.0,,,,,,,,false
Wildlife Biologist,3,true,19,19-1023|Zoologists and Wildlife Biologists|head_tokens|recall=1.0,,,,,,,,false
Data Scientist,2,true,15,"15-2051|Data Scientists|exact_head|recall=1.0; 19-1011|Animal Scientists|tokens|recall=0.5; 19-1029|Biological Scientists, All Other|tokens|recall=0.5; 19-1031|Conservation Scientists|tokens|recall=0.5",,,,,,,,false
History Professor,2,true,25,"25-1125|History Teachers, Postsecondary|tokens|recall=0.5",spelling variant(s) present in the table: processor,,,,,,,false
Software Engineer,117,false,,"17-2199|Engineers, All Other|tokens|recall=0.5; 15-1252|Software Developers|tokens|recall=0.5; 17-2011|Aerospace Engineers|tokens|recall=0.5; 17-2021|Agricultural Engineers|tokens|recall=0.5",AMBIGUOUS: several equally ranked candidates,,,,,,,false
Marine Biologist,84,false,,"19-1023|Zoologists and Wildlife Biologists|tokens|recall=0.5; 53-5011|Sailors and Marine Oilers|tokens|recall=0.5; 17-2121|Marine Engineers and Naval Architects|tokens|recall=0.5; 25-1051|Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary|tokens|recall=0.5",AMBIGUOUS: several equally ranked candidates,,,,,,,false
Student,12,false,,,NO candidate in the table at level detailed occupation,,,,,,,false
Museum Curator,10,false,,25-4012|Curators|tokens|recall=0.5; 25-4013|Museum Technicians and Conservators|tokens|recall=0.5,AMBIGUOUS: several equally ranked candidates,,,,,,,false
Art Curator,6,false,,"25-4012|Curators|tokens|recall=0.5; 27-1011|Art Directors|tokens|recall=0.5; 25-1121|Art, Drama, and Music Teachers, Postsecondary|tokens|recall=0.5",spelling variant(s) present in the table: part; AMBIGUOUS: several equally ranked candidates,,,,,,,false
Botanist,5,false,,,NO candidate in the table at level detailed occupation,,,,,,,false
Cultural Anthropologist,5,false,,"19-3091|Anthropologists and Archeologists|tokens|recall=0.5; 25-1062|Area, Ethnic, and Cultural Studies Teachers, Postsecondary|tokens|recall=0.5",AMBIGUOUS: several equally ranked candidates,,,,,,,false
Archaeologist,4,false,,,NO candidate in the table at level detailed occupation; spelling variant(s) present in the table: archeologist,,,,,,,false
Software Architect,4,false,,15-1243|Database Architects|tokens|recall=0.5; 15-1252|Software Developers|tokens|recall=0.5; 17-1012|Landscape Architects|tokens|recall=0.5; 15-1241|Computer Network Architects|tokens|recall=0.5,AMBIGUOUS: several equally ranked candidates,,,,,,,false
Art Historian,3,false,,"19-3093|Historians|tokens|recall=0.5; 27-1011|Art Directors|tokens|recall=0.5; 25-1121|Art, Drama, and Music Teachers, Postsecondary|tokens|recall=0.5",spelling variant(s) present in the table: part; AMBIGUOUS: several equally ranked candidates,,,,,,,false
Environmental Consultant,3,false,,"17-2081|Environmental Engineers|tokens|recall=0.5; 25-1053|Environmental Science Teachers, Postsecondary|tokens|recall=0.5; 17-3025|Environmental Engineering Technologists and Technicians|tokens|recall=0.5; 19-2041|Environmental Scientists and Specialists, Including Health|tokens|recall=0.5",AMBIGUOUS: several equally ranked candidates,,,,,,,false
Environmental Engineer,3,false,,"17-2081|Environmental Engineers|exact_head|recall=1.0; 17-2199|Engineers, All Other|tokens|recall=0.5; 17-2011|Aerospace Engineers|tokens|recall=0.5; 17-2021|Agricultural Engineers|tokens|recall=0.5",,,,,,,,false
Aerospace Engineer,2,false,,"17-2011|Aerospace Engineers|exact_head|recall=1.0; 17-2199|Engineers, All Other|tokens|recall=0.5; 17-2021|Agricultural Engineers|tokens|recall=0.5; 17-2041|Chemical Engineers|tokens|recall=0.5",,,,,,,,false
Art Conservator,2,false,,"27-1011|Art Directors|tokens|recall=0.5; 25-4013|Museum Technicians and Conservators|tokens|recall=0.5; 25-1121|Art, Drama, and Music Teachers, Postsecondary|tokens|recall=0.5",spelling variant(s) present in the table: part; AMBIGUOUS: several equally ranked candidates,,,,,,,false
Clinical Psychologist,2,false,,"19-3033|Clinical and Counseling Psychologists|head_tokens|recall=1.0; 19-3039|Psychologists, All Other|tokens|recall=0.5; 19-3034|School Psychologists|tokens|recall=0.5; 19-3032|Industrial-Organizational Psychologists|tokens|recall=0.5",,,,,,,,false
Landscape Architect,2,false,,"17-1012|Landscape Architects|exact_head|recall=1.0; 17-1011|Architects, Except Landscape and Naval|tokens|recall=1.0; 15-1243|Database Architects|tokens|recall=0.5; 15-1241|Computer Network Architects|tokens|recall=0.5",,,,,,,,false
